Name,Price,Role,Country,Team
Virat Kohli,Rs. 17.00 Cr,Batsman,India,RCB
AB de Villiers,Rs. 11.00 Cr,Wicket Keeper,South Africa,RCB
Chris Morris,Rs. 10.00 Cr,All Rounder,South Africa,RCB
Yuzvendra Chahal,Rs. 6.00 Cr,Bowler,India,RCB
Shivam Dube,Rs. 5.00 Cr,All Rounder,India,RCB
Aaron Finch,Rs. 4.40 Cr,Batsman,Australia,RCB
Umesh Yadav,Rs. 4.20 Cr,Bowler,India,RCB
Kane Richardson,Rs. 4.00 Cr,Bowler,Australia,RCB
Washington Sundar,Rs. 3.20 Cr,All Rounder,India,RCB
Navdeep Saini,Rs. 3.00 Cr,Bowler,India,RCB
Mohammed Siraj,Rs. 2.60 Cr,Bowler,India,RCB
Dale Steyn,Rs. 2.00 Cr,Bowler,South Africa,RCB
Moeen Ali,Rs. 1.70 Cr,All Rounder,England,RCB
Parthiv Patel,Rs. 1.70 Cr,Wicket Keeper,India,RCB
Pawan Negi,Rs. 1.00 Cr,All Rounder,India,RCB
Gurkeerat Singh,Rs. 50.00 Lac,All Rounder,India,RCB
Isuru Udana,Rs. 50.00 Lac,All Rounder,Sri Lanka,RCB
Devdutt Padikkal,Rs. 20.00 Lac,Batsman,India,RCB
Pavan Deshpande,Rs. 20.00 Lac,All Rounder,India,RCB
Shahbaz Ahamad,Rs. 20.00 Lac,Wicket Keeper,India,RCB
Joshua Philippe,Rs. 20.00 Lac,Wicket Keeper,Australia,RCB
MS Dhoni,Rs. 15.00 Cr,Wicket Keeper,India,CSK
Suresh Raina,Rs. 11.00 Cr,Batsman,India,CSK
Kedar Jadhav,Rs. 7.80 Cr,All Rounder,India,CSK
Ravindra Jadeja,Rs. 7.00 Cr,All Rounder,India,CSK
Piyush Chawla,Rs. 6.75 Cr,Bowler,India,CSK
Dwayne Bravo,Rs. 6.40 Cr,All Rounder,West Indies,CSK
Sam Curran,Rs. 5.50 Cr,All Rounder,England,CSK
Karn Sharma,Rs. 5.00 Cr,Bowler,India,CSK
Shane Watson,Rs. 4.00 Cr,All Rounder,Australia,CSK
Shardul Thakur,Rs. 2.60 Cr,Bowler,India,CSK
Ambati Rayudu,Rs. 2.20 Cr,Wicket Keeper,India,CSK
Harbhajan Singh,Rs. 2.00 Cr,Bowler,India,CSK
Murali Vijay,Rs. 2.00 Cr,Batsman,India,CSK
Josh Hazlewood,Rs. 2.00 Cr,Bowler,Australia,CSK
Faf Du Plessis,Rs. 1.60 Cr,Batsman,South Africa,CSK
Imran Tahir,Rs. 1.00 Cr,Bowler,South Africa,CSK
Deepak Chahar,Rs. 80.00 Lac,All Rounder,India,CSK
Lungisani Ngidi,Rs. 50.00 Lac,Bowler,South Africa,CSK
Mitchell Santner,Rs. 50.00 Lac,All Rounder,New Zealand,CSK
Asif K M,Rs. 40.00 Lac,Bowler,India,CSK
Jagadeesan Narayan,Rs. 20.00 Lac,Wicket Keeper,India,CSK
Monu Singh,Rs. 20.00 Lac,Bowler,India,CSK
Ruturaj Gaikwad,Rs. 20.00 Lac,Batsman,India,CSK
R Sai Kishore,Rs. 20.00 Lac,Bowler,India,CSK
Rishabh Pant,Rs. 15.00 Cr,Wicket Keeper,India,DC
Shimron Hetmyer,Rs. 7.75 Cr,Batsman,West Indies,DC
Ravichandran Ashwin,Rs. 7.60 Cr,All Rounder,India,DC
Shreyas Iyer,Rs. 7.00 Cr,Batsman,India,DC
Ajinkya Rahane,Rs. 5.25 Cr,Batsman,India,DC
Shikhar Dhawan,Rs. 5.20 Cr,Batsman,India,DC
Axar Patel,Rs. 5.00 Cr,All Rounder,India,DC
Marcus Stoinis,Rs. 4.80 Cr,All Rounder,Australia,DC
Kagiso Rabada,Rs. 4.20 Cr,Bowler,South Africa,DC
Amit Mishra,Rs. 4.00 Cr,Bowler,India,DC
Alex Carey,Rs. 2.40 Cr,Wicket Keeper,Australia,DC
Jason Roy,Rs. 1.50 Cr,Batsman,England,DC
Chris Woakes,Rs. 1.50 Cr,All Rounder,England,DC
Prithvi Shaw,Rs. 1.20 Cr,Batsman,India,DC
Ishant Sharma,Rs. 1.10 Cr,Bowler,India,DC
Avesh Khan,Rs. 70.00 Lac,Bowler,India,DC
Keemo Paul,Rs. 50.00 Lac,All Rounder,West Indies,DC
Mohit Sharma,Rs. 50.00 Lac,Bowler,India,DC
Harshal Patel,Rs. 20.00 Lac,All Rounder,India,DC
Sandeep Lamichhane,Rs. 20.00 Lac,Bowler,Nepal,DC
Tushar Deshpande,Rs. 20.00 Lac,Bowler,India,DC
Lalit Yadav,Rs. 20.00 Lac,All Rounder,India,DC
David Warner,Rs. 12.50 Cr,Batsman,Australia,SRH
Manish Pandey,Rs. 11.00 Cr,Batsman,India,SRH
Rashid Khan Arman,Rs. 9.00 Cr,Bowler,Afghanistan,SRH
Bhuvneshwar Kumar,Rs. 8.50 Cr,Bowler,India,SRH
Siddharth Kaul,Rs. 3.80 Cr,Bowler,India,SRH
Shahbaz Nadeem,Rs. 3.20 Cr,Bowler,India,SRH
Vijay Shankar,Rs. 3.20 Cr,All Rounder,India,SRH
Kane Williamson,Rs. 3.00 Cr,Batsman,New Zealand,SRH
Sandeep Sharma,Rs. 3.00 Cr,Bowler,India,SRH
Syed Khaleel Ahmed,Rs. 3.00 Cr,Bowler,India,SRH
Jonny Bairstow,Rs. 2.20 Cr,Wicket Keeper,England,SRH
Mitchell Marsh,Rs. 2.00 Cr,All Rounder,Australia,SRH
Priyam Garg,Rs. 1.90 Cr,Batsman,India,SRH
Virat Singh,Rs. 1.90 Cr,Batsman,India,SRH
Wriddhiman Saha,Rs. 1.20 Cr,Wicket Keeper,India,SRH
Mohammad Nabi Eisakhil,Rs. 1.00 Cr,All Rounder,Afghanistan,SRH
Shreevats Goswami,Rs. 1.00 Cr,Wicket Keeper,India,SRH
Basil Thampi,Rs. 95.00 Lac,Bowler,India,SRH
Abhishek Sharma,Rs. 55.00 Lac,All Rounder,India,SRH
Billy Stanlake,Rs. 50.00 Lac,Bowler,Australia,SRH
Fabian Allen,Rs. 50.00 Lac,All Rounder,West Indies,SRH
T Natarajan,Rs. 40.00 Lac,Bowler,India,SRH
Sandeep Bavanaka,Rs. 20.00 Lac,All Rounder,India,SRH
Abdul Samad,Rs. 20.00 Lac,All Rounder,India,SRH
Sanjay Yadav,Rs. 20.00 Lac,All Rounder,India,SRH
Pat Cummins,Rs. 15.50 Cr,All Rounder,Australia,KKR
Sunil Narine,Rs. 12.50 Cr,Bowler,West Indies,KKR
Andre Russell,Rs. 8.50 Cr,All Rounder,West Indies,KKR
Dinesh Karthik,Rs. 7.40 Cr,Wicket Keeper,India,KKR
Kuldeep Yadav,Rs. 5.80 Cr,Bowler,India,KKR
Eoin Morgan,Rs. 5.25 Cr,Batsman,England,KKR
Varun Chakaravarthy,Rs. 4.00 Cr,All Rounder,India,KKR
Nitish Rana,Rs. 3.40 Cr,All Rounder,India,KKR
Kamlesh Nagarkoti,Rs. 3.20 Cr,All Rounder,India,KKR
Shivam Mavi,Rs. 3.00 Cr,All Rounder,India,KKR
Shubman Gill,Rs. 1.80 Cr,Batsman,India,KKR
Lockie Ferguson,Rs. 1.60 Cr,Bowler,New Zealand,KKR
Tom Banton,Rs. 1.00 Cr,Batsman,England,KKR
Rinku Singh,Rs. 80.00 Lac,Batsman,India,KKR
Harry Gurney,Rs. 75.00 Lac,Bowler,England,KKR
Rahul Tripathi,Rs. 60.00 Lac,Batsman,India,KKR
Prasidh Krishna,Rs. 20.00 Lac,Bowler,India,KKR
Sandeep Warrier,Rs. 20.00 Lac,Bowler,India,KKR
Siddhesh Lad,Rs. 20.00 Lac,Batsman,India,KKR
M Siddharth,Rs. 20.00 Lac,Bowler,India,KKR
Chris Green,Rs. 20.00 Lac,All Rounder,Australia,KKR
Nikhil Naik,Rs. 20.00 Lac,Wicket Keeper,India,KKR
Pravin Tambe,Rs. 20.00 Lac,Bowler,India,KKR
Rohit Sharma,Rs. 15.00 Cr,Batsman,India,MI
Hardik Pandya,Rs. 11.00 Cr,All Rounder,India,MI
Krunal Pandya,Rs. 8.80 Cr,All Rounder,India,MI
Nathan Coulter-Nile,Rs. 8.00 Cr,Bowler,Australia,MI
Jasprit Bumrah,Rs. 7.00 Cr,Bowler,India,MI
Ishan Kishan,Rs. 6.20 Cr,Wicket Keeper,India,MI
Kieron Pollard,Rs. 5.40 Cr,All Rounder,West Indies,MI
Surya Kumar Yadav,Rs. 3.20 Cr,Batsman,India,MI
Trent Boult,Rs. 3.20 Cr,Bowler,New Zealand,MI
